'2019-12-19 09:08:00,815-INFO-17340-build_bid-19-session级别前置build_bid开始...'
'2019-12-19 09:08:10,932-INFO-17340-input_text-73-后台输入用户名输入文字lemon7开始...'
'2019-12-19 09:08:12,726-INFO-17340-wait_until_visible-38-等待后台输入用户名元素可见，耗时0.0...'
'2019-12-19 09:08:12,726-INFO-17340-get_ele-56-获取元素后台输入用户名开始...'
'2019-12-19 09:08:12,864-INFO-17340-get_ele-69-获取后台输入用户名元素，耗时0.11100602149963379...'
'2019-12-19 09:08:13,056-INFO-17340-input_text-88-获取后台输入用户名元素，耗时2.123121500015259...'
'2019-12-19 09:08:13,056-INFO-17340-input_text-73-后台输入密码输入文字lemonbest开始...'
'2019-12-19 09:08:13,059-INFO-17340-wait_until_visible-38-等待后台输入密码元素可见，耗时0.0...'
'2019-12-19 09:08:13,059-INFO-17340-get_ele-56-获取元素后台输入密码开始...'
'2019-12-19 09:08:13,077-INFO-17340-get_ele-69-获取后台输入密码元素，耗时0.018001079559326172...'
'2019-12-19 09:08:13,157-INFO-17340-input_text-88-获取后台输入密码元素，耗时0.10100579261779785...'
'2019-12-19 09:08:13,157-INFO-17340-input_text-73-后台输入万能验证码输入文字hapi开始...'
'2019-12-19 09:08:13,239-INFO-17340-wait_until_visible-38-等待后台输入万能验证码元素可见，耗时0.0...'
'2019-12-19 09:08:13,239-INFO-17340-get_ele-56-获取元素后台输入万能验证码开始...'
'2019-12-19 09:08:13,257-INFO-17340-get_ele-69-获取后台输入万能验证码元素，耗时0.017000913619995117...'
'2019-12-19 09:08:13,316-INFO-17340-input_text-88-获取后台输入万能验证码元素，耗时0.15900897979736328...'
'2019-12-19 09:08:13,316-INFO-17340-ele_click-91-点击元素点击后台登录按钮开始...'
'2019-12-19 09:08:13,319-INFO-17340-wait_until_visible-38-等待点击后台登录按钮元素可见，耗时0.0...'
'2019-12-19 09:08:13,320-INFO-17340-get_ele-56-获取元素点击后台登录按钮开始...'
'2019-12-19 09:08:13,337-INFO-17340-get_ele-69-获取点击后台登录按钮元素，耗时0.017000913619995117...'
'2019-12-19 09:08:13,404-INFO-17340-ele_click-106-点击点击后台登录按钮元素，耗时0.08800482749938965...'
'2019-12-19 09:08:13,404-INFO-17340-ele_click-91-点击元素点击贷款管理开始...'
'2019-12-19 09:08:13,407-INFO-17340-wait_until_visible-38-等待点击贷款管理元素可见，耗时0.0...'
'2019-12-19 09:08:13,407-INFO-17340-get_ele-56-获取元素点击贷款管理开始...'
'2019-12-19 09:08:14,440-INFO-17340-get_ele-69-获取点击贷款管理元素，耗时1.0330588817596436...'
'2019-12-19 09:08:14,567-INFO-17340-ele_click-106-点击点击贷款管理元素，耗时1.1630666255950928...'
'2019-12-19 09:08:14,567-INFO-17340-switch_to_iframe-176-切换iframe切换iframe开始...'
'2019-12-19 09:08:14,571-INFO-17340-wait_until_exist-53-等待切换iframe元素存在，耗时0.0...'
'2019-12-19 09:08:14,571-INFO-17340-get_ele-56-获取元素切换iframe开始...'
'2019-12-19 09:08:14,590-INFO-17340-get_ele-69-获取切换iframe元素，耗时0.018001079559326172...'
'2019-12-19 09:08:14,618-INFO-17340-switch_to_iframe-190-切换iframe切换iframe结束，耗时0.0500030517578125...'
'2019-12-19 09:08:16,618-INFO-17340-ele_click-91-点击元素点击加标按钮开始...'
'2019-12-19 09:08:16,621-INFO-17340-wait_until_visible-38-等待点击加标按钮元素可见，耗时0.0...'
'2019-12-19 09:08:16,621-INFO-17340-get_ele-56-获取元素点击加标按钮开始...'
